Category,PT_Component,Sub_PT_Component,Test_Method,Liquid_State,Voltage_Class_kV,Primary_Standard,Standard_Tier,Unit,Score_5_Excellent,Score_4_Good,Score_3_Monitoring,Score_2_Warning,Score_1_Critical,Weight_Percent,Standard_Recommendation
Part 1: Condition Health Index (CHI),Bushing,Bushing Electrical Test,Bushing Power Factor (%PF C1),Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),% Error from Nameplate,≤ Nameplate %PF (or ≤ 0.5 %),1.0x - 1.5x Nameplate,1.5x - 2.0x Nameplate,2.0x - 3.0x Nameplate,> 3.0x Nameplate (C1 Insulation Degradation),5.0%,Replace bushing if %PF C1 exceeds 2x nameplate rating per IEEE C57.152 Clause 7.2
Part 1: Condition Health Index (CHI),Bushing,Bushing Electrical Test,Bushing Capacitance (% C1),Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),% Error from Nameplate,≤ ± 1.0 % Error,1.1 - 3.0 %,3.1 - 5.0 %,5.1 - 10.0 %,> 10.0 % Error (Layer Breakdown / Partial Short),5.0%,Capacitance change > 5% indicates condenser layer breakdown per IEEE C57.152 Clause 7.2
Part 1: Condition Health Index (CHI),OLTC,OLTC Inspection,Visual Inspection,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),Score / Condition,"Normal (No oil leak, counter operating, mechanism clean)",Minor dirt / Counter working,Low oil level in OLTC compartment,Oil seepage / Mechanism wear,OLTC mechanism jammed / Severe oil leak / Alarm,10.0%,Inspect tap changer drive & counter operation per IEEE C57.152 Clause 8.1
Part 1: Condition Health Index (CHI),OLTC,OLTC Oil,Breakdown Voltage (kV) [ASTM D 1816 2mm],Service-Aged OLTC Oil,All Voltage Classes,IEEE C57.152-2013 Table 5,Primary (IEEE C57.152-2013 Table 5),kV,≥ 50 kV,40 - 49 kV,30 - 39 kV,20 - 29 kV,< 20 kV,5.0%,Filter or replace OLTC oil if BDV < 30 kV per IEEE C57.152 Table 5 / Table 12
Part 1: Condition Health Index (CHI),OLTC,OLTC Oil,Water Content (ppm),Service-Aged OLTC Oil,All Voltage Classes,IEEE C57.152-2013 Table 5,Primary (IEEE C57.152-2013 / ASTM D1533),ppm,≤ 20 ppm,21 - 30 ppm,31 - 40 ppm,41 - 50 ppm,> 50 ppm,5.0%,Dehydrate OLTC oil if WC > 30 ppm per IEEE C57.152 Table 12
Part 1: Condition Health Index (CHI),OLTC,OLTC Operation,Maintenance Schedule Compliance,Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 Table A-6),% Late,Maintenance according to schedule,20% late,40% late,60% late,80% late,100% late,5.0%,Adhere to OEM maintenance schedule per CIGRE 761 Table A-6
Part 1: Condition Health Index (CHI),Surge Arrester,Surge Arrester Test,Surge Arrester Condition,Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),Condition / % Error,"Normal (Leakage current normal, counter OK)",Minor surface contamination,Counter faulty / Leakage current elevated,High leakage current / Thermal anomaly,Arrester failure / Cracked housing / Disconnected,5.0%,Replace surge arrester if leakage current exceeds threshold per IEEE C57.152 Clause 9.1
Part 1: Condition Health Index (CHI),General Parts,General Inspection,"Visual Inspection (Tank, Fan, Radiator, Bushing)",Service-Aged Liquid,All Voltage Classes,IEEE C57.152-2013,Primary (IEEE C57.152-2013),Condition / Score,Normal (All auxiliary systems in good condition),Minor paint peeling / Minor dust,Fan/Pump noise / Radiator rust,Cooling fan failure / Oil seepage at valve,Cooling system failure / Severe oil leaks,5.0%,"Perform routine PM for cooling fans, pumps, and valves per IEEE C57.152"
Part 2: General Health Index (GHI),Operational History,Service Age,Age of Transformer,Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / IEEE Loading Guide),Years,≤ 10 Years,11 - 20 Years,21 - 30 Years,31 - 39 Years,≥ 40 Years (Design Life Limit reached),30.0%,Transformers > 30 years require close monitoring & life extension assessment per CIGRE 761
Part 2: General Health Index (GHI),Operational History,Through Faults,Number of Through Faults,Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / IEEE C57.12.90),Count,0 - 2 Faults,3 - 5 Faults,6 - 10 Faults,11 - 15 Faults,> 15 Faults (Severe Mechanical Stress),20.0%,Perform FRA test if transformer experiences severe through faults per CIGRE 761
Part 2: General Health Index (GHI),Maintenance History,PM Execution,Maintenance History & PM Compliance,Service-Aged Liquid,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 Table A-6 / GPSC),Score / Compliance,Complete PM performed on schedule (every 3 years),PM delayed < 6 months,PM delayed 6 - 12 months,PM delayed 1 - 2 years,No PM performed for > 3 years,25.0%,Adhere to 3-year preventive maintenance schedule per CIGRE 761
Part 2: General Health Index (GHI),Operating Load,Load History,Peak Load History (%),Service-Aged Liquid,All Voltage Classes,IEEE C57.91-2011,Primary (IEEE C57.91 Loading Guide),%,Peak Load ≤ 80 %,81 - 100 %,101 - 110 % (Emergency Overload),111 - 120 %,> 120 % (Severe Overloading & Thermal Stress),25.0%,Avoid continuous overloading above 100% rated MVA per IEEE C57.91
Part 3: Impact Index (Criticality),Financial Impact,Outage Loss,Financial losses (MTHB/Day),Risk Assessment,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 Asset Risk Framework),MTHB / Day,≤ 0.5 MTHB/Day,0.6 - 2.0 MTHB/Day,2.1 - 5.0 MTHB/Day,5.1 - 10.0 MTHB/Day,> 10.0 MTHB/Day (Critical Commercial Loss),15.0%,High financial loss transformers prioritized for N+1 redundancy per CIGRE 761
Part 3: Impact Index (Criticality),Financial Impact,Asset Cost,Equipment damage cost (MTHB),Risk Assessment,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 Asset Replacement),MTHB,≤ 10 MTHB,11 - 30 MTHB,31 - 50 MTHB,51 - 80 MTHB,> 80 MTHB (High Asset Value),10.0%,Capital expenditure planning for replacement per CIGRE 761
Part 3: Impact Index (Criticality),Grid Reliability,Redundancy,N-1 Criteria Redundancy,Grid Code,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / Grid Code),Redundancy Status,Full N-1 Redundancy available (No load shed),N-1 Available with partial load transfer,N-1 Limited (Brief outage during switching),N-1 Constrained (Significant load shed),No N-1 Redundancy (Single point of failure),15.0%,Maintain grid tie backup for non-N-1 transformers per CIGRE 761
Part 3: Impact Index (Criticality),Grid Reliability,Feeder Priority,Feeder Importance,Grid Code,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / GPSC),Category,Low Importance (Non-critical load),Medium Importance,High Importance (Industrial customer),Very High Importance (Key petrochemical plant),Critical Feeder (Main plant supply / Hospital / Grid tie),15.0%,Critical feeder transformers assigned 24/7 online monitoring per CIGRE 761
Part 3: Impact Index (Criticality),Operational Recovery,Restoration Time,Recovery Time (Weeks),Risk Assessment,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 Risk Assessment),Weeks,≤ 1 Week (Spare unit ready on site),2 - 4 Weeks (Spare available in warehouse),5 - 8 Weeks (Transport required),9 - 16 Weeks (Major overhaul needed),> 16 Weeks (New unit procurement required),10.0%,Maintain strategic spare transformer inventory per CIGRE 761
Part 3: Impact Index (Criticality),Safety & Environment,Environmental Risk,Environment & Spillage Risk,ISO 14001,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / ISO 14001),Risk Level,"Low Risk (Berm containment complete, dry location)",Minor Risk (Contained oil containment),Moderate Risk (Near drainage ditch),High Risk (Near water body),Critical Environmental Risk (Adjacent to canal/river),10.0%,Ensure oil containment bund & fire barrier integrity per CIGRE 761
Part 3: Impact Index (Criticality),Safety & Environment,Safety Risk,Safety & Fire Risk,ISO 45001,All Voltage Classes,CIGRE 761,Supplementary (CIGRE 761 / ISO 45001),Risk Level,"Low Safety Risk (Remote location, explosion-proof)",Minor Risk (Standard clearance),Moderate Risk (Near control room),High Risk (Inside building / High personnel density),Critical Safety Risk (Explosive zone / Close to workers),15.0%,Fire suppression system required for indoor/dense zone units per CIGRE 761
